"s1","s2","samevotes"
"Mike","Carolyn",7
"Mike","Will",3
"Mike","Rodney",4
"Mike","Sierra",5
"Mike","Dan",5
"Mike","Tyler",3
"Mike","Shirin",3
"Mike","Joe",1
"Mike","Kelly",1
"Carolyn","Will",5
"Carolyn","Rodney",4
"Carolyn","Sierra",4
"Carolyn","Dan",3
"Carolyn","Tyler",5
"Carolyn","Shirin",2
"Carolyn","Jenn",1
"Carolyn","Joe",1
"Carolyn","Hali",1
"Carolyn","Kelly",2
"Carolyn","Max",1
"Will","Rodney",5
"Will","Sierra",2
"Will","Dan",3
"Will","Tyler",5
"Will","Shirin",1
"Will","Jenn",3
"Will","Joe",2
"Will","Hali",2
"Will","Kelly",1
"Rodney","Sierra",6
"Rodney","Dan",7
"Rodney","Tyler",4
"Rodney","Shirin",1
"Rodney","Kelly",2
"Rodney","Joaquin",1
"Sierra","Dan",7
"Sierra","Tyler",2
"Sierra","Shirin",1
"Sierra","Joe",1
"Sierra","Kelly",1
"Sierra","Lindsey",1
"Dan","Tyler",3
"Dan","Shirin",1
"Dan","Joe",1
"Dan","Kelly",1
"Tyler","Shirin",2
"Tyler","Joe",1
"Tyler","Kelly",1
"Tyler","Joaquin",1
"Tyler","Max",1
"Shirin","Jenn",2
"Shirin","Joe",2
"Shirin","Hali",2
"Shirin","Max",2
"Jenn","Joe",3
"Jenn","Hali",4
"Jenn","Kelly",1
"Joe","Hali",2
"Hali","Kelly",1
"Hali","Nina",1
"Joaquin","So",1
"Nina","Vince",1
